Gene 1	Gene 2	Weight	Network group	Network
RAD51	DMC1	0.03318789	Predicted	Wu-Stein-2010
RAD51	XRCC2	0.068748645	Predicted	Wu-Stein-2010
RAD51	XRCC3	0.076530166	Predicted	Wu-Stein-2010
RAD51	MSH2	0.024553493	Predicted	Wu-Stein-2010
MLH1	MSH6	0.04638056	Predicted	Wu-Stein-2010
MLH1	RAD50	0.052865207	Predicted	Wu-Stein-2010
MLH1	MRE11A	0.050362326	Predicted	Wu-Stein-2010
MLH1	MSH2	0.03499024	Predicted	Wu-Stein-2010
PCNA	MSH6	0.022712689	Predicted	Wu-Stein-2010
PCNA	MSH2	0.01713482	Predicted	Wu-Stein-2010
PMS2	MSH6	0.1247406	Predicted	Wu-Stein-2010
PMS2	MSH2	0.09410632	Predicted	Wu-Stein-2010
PMS2	MLH1	0.09840135	Predicted	Wu-Stein-2010
RAD51C	XRCC2	0.23993011	Predicted	Wu-Stein-2010
RAD51C	XRCC3	0.26708734	Predicted	Wu-Stein-2010
RAD51C	RAD51	0.06287566	Predicted	Wu-Stein-2010
RAD51D	XRCC2	0.2184822	Predicted	Wu-Stein-2010
RAD51D	XRCC3	0.2432118	Predicted	Wu-Stein-2010
RAD51D	RAD51	0.057255056	Predicted	Wu-Stein-2010
RAD51D	RAD51C	0.19981793	Predicted	Wu-Stein-2010
MSH3	MSH6	0.111126706	Predicted	Wu-Stein-2010
MSH3	MSH2	0.08383578	Predicted	Wu-Stein-2010
MSH3	PCNA	0.042928357	Predicted	Wu-Stein-2010
NBN	MSH6	0.042337645	Predicted	Wu-Stein-2010
NBN	MSH2	0.031940203	Predicted	Wu-Stein-2010
NBN	MLH1	0.033397958	Predicted	Wu-Stein-2010
RAD51B	XRCC2	0.29717922	Predicted	Wu-Stein-2010
RAD51B	RAD51	0.07787825	Predicted	Wu-Stein-2010
RAD51B	RAD51C	0.2717921	Predicted	Wu-Stein-2010
RAD51B	RAD51D	0.247496	Predicted	Wu-Stein-2010
MUTYH	MSH6	0.48495492	Predicted	Wu-Stein-2010
BLM	XRCC2	0.059854757	Predicted	Wu-Stein-2010
BLM	MSH6	0.028335892	Predicted	Wu-Stein-2010
BLM	RAD50	0.032297645	Predicted	Wu-Stein-2010
BLM	MRE11A	0.030768527	Predicted	Wu-Stein-2010
BLM	MSH2	0.021377053	Predicted	Wu-Stein-2010
BLM	RAD51	0.015685432	Predicted	Wu-Stein-2010
BLM	MLH1	0.022352707	Predicted	Wu-Stein-2010
BLM	PCNA	0.0109461825	Predicted	Wu-Stein-2010
BLM	RAD51D	0.049848076	Predicted	Wu-Stein-2010
BLM	NBN	0.020404259	Predicted	Wu-Stein-2010
BLM	FEN1	0.051151615	Predicted	Wu-Stein-2010
MSH4	DMC1	0.08433502	Predicted	Wu-Stein-2010
MSH4	MSH2	0.062393826	Predicted	Wu-Stein-2010
MSH4	RAD51	0.045781523	Predicted	Wu-Stein-2010
MSH4	MLH1	0.06524149	Predicted	Wu-Stein-2010
MSH4	MSH3	0.15631704	Predicted	Wu-Stein-2010
LIG1	MRE11A	0.12707634	Predicted	Wu-Stein-2010
LIG1	PCNA	0.045208566	Predicted	Wu-Stein-2010
RFC1	RAD50	0.06896712	Predicted	Wu-Stein-2010
RFC1	MRE11A	0.065701894	Predicted	Wu-Stein-2010
RFC1	NBN	0.04357045	Predicted	Wu-Stein-2010
PMS1	MLH1	0.18752366	Predicted	Wu-Stein-2010
MSH5	MSH4	0.5736299	Predicted	Wu-Stein-2010
MBD4	MLH1	0.39398775	Predicted	Wu-Stein-2010
MRE11A	RAD50	1	Predicted	I2D-Yu-Vidal-2008-GoldStd-Yeast2Human
MSH2	MSH6	0.38926953	Predicted	I2D-Yu-Vidal-2008-GoldStd-Yeast2Human
MLH1	MSH2	0.3574162	Predicted	I2D-Yu-Vidal-2008-GoldStd-Yeast2Human
PCNA	MSH6	0.26994118	Predicted	I2D-Yu-Vidal-2008-GoldStd-Yeast2Human
PMS2	MSH2	0.25094402	Predicted	I2D-Yu-Vidal-2008-GoldStd-Yeast2Human
PMS2	MLH1	0.46081933	Predicted	I2D-Yu-Vidal-2008-GoldStd-Yeast2Human
MSH3	MSH2	0.27502942	Predicted	I2D-Yu-Vidal-2008-GoldStd-Yeast2Human
MSH3	PCNA	0.19072072	Predicted	I2D-Yu-Vidal-2008-GoldStd-Yeast2Human
MSH3	PMS2	0.35459745	Predicted	I2D-Yu-Vidal-2008-GoldStd-Yeast2Human
FEN1	PCNA	0.47881392	Predicted	I2D-Yu-Vidal-2008-GoldStd-Yeast2Human
RFC1	PCNA	0.47881392	Predicted	I2D-Yu-Vidal-2008-GoldStd-Yeast2Human
MRE11A	RAD50	0.68125004	Predicted	I2D-BIND-Yeast2Human
MLH1	MSH2	0.34891528	Predicted	I2D-BIND-Yeast2Human
PCNA	MSH6	0.52311444	Predicted	I2D-BIND-Yeast2Human
PMS2	MSH2	0.34891528	Predicted	I2D-BIND-Yeast2Human
PMS2	MLH1	0.34891528	Predicted	I2D-BIND-Yeast2Human
MSH3	MSH2	0.28550106	Predicted	I2D-BIND-Yeast2Human
MSH3	MLH1	0.28550106	Predicted	I2D-BIND-Yeast2Human
MSH3	PCNA	0.16154988	Predicted	I2D-BIND-Yeast2Human
MSH3	PMS2	0.28550106	Predicted	I2D-BIND-Yeast2Human
FEN1	PCNA	0.35916463	Predicted	I2D-BIND-Yeast2Human
RFC1	PCNA	0.17000006	Predicted	I2D-BIND-Yeast2Human
MSH5	MRE11A	0.3023119	Predicted	I2D-BIND-Yeast2Human
MRE11A	RAD50	0.70710677	Predicted	I2D-BioGRID-Worm2Human
MSH2	MSH6	1	Predicted	I2D-BioGRID-Worm2Human
RAD51	RAD54B	0.60778123	Predicted	I2D-BioGRID-Worm2Human
PMS2	MLH1	0.76536685	Predicted	I2D-BioGRID-Worm2Human
MSH2	MSH6	1	Predicted	I2D-vonMering-Bork-2002-High-Yeast2Human
RAD51	RAD51AP1	0.57735026	Predicted	I2D-BIND-Mouse2Human
NBN	RAD50	1	Predicted	I2D-BIND-Mouse2Human
BRCA2	RAD51	0.57735026	Predicted	I2D-BIND-Mouse2Human
BLM	RAD51	0.57735026	Predicted	I2D-BIND-Mouse2Human
MRE11A	RAD50	0.70710677	Predicted	I2D-IntAct-Mouse2Human
NBN	MRE11A	0.70710677	Predicted	I2D-IntAct-Mouse2Human
PCNA	MSH6	0.64170617	Predicted	I2D-Krogan-Greenblatt-2006-NonCore-Yeast2Human
PMS2	MLH1	0.7471169	Predicted	I2D-Krogan-Greenblatt-2006-NonCore-Yeast2Human
MRE11A	RAD50	0.086417064	Predicted	I2D-BioGRID-Fly2Human
PMS2	MLH1	0.022939388	Predicted	I2D-BioGRID-Fly2Human
XRCC2	DMC1	0.14285715	Shared protein domains	PFAM
XRCC3	DMC1	0.14285715	Shared protein domains	PFAM
XRCC3	XRCC2	0.14285715	Shared protein domains	PFAM
MSH2	MSH6	0.17049454	Shared protein domains	PFAM
RAD51	DMC1	0.14285715	Shared protein domains	PFAM
RAD51	XRCC2	0.14285715	Shared protein domains	PFAM
RAD51	XRCC3	0.14285715	Shared protein domains	PFAM
PMS2	MLH1	0.36250836	Shared protein domains	PFAM
RAD51C	DMC1	0.14285715	Shared protein domains	PFAM
RAD51C	XRCC2	0.14285715	Shared protein domains	PFAM
RAD51C	XRCC3	0.14285715	Shared protein domains	PFAM
RAD51C	RAD51	0.14285715	Shared protein domains	PFAM
RAD51AP2	RAD51AP1	1	Shared protein domains	PFAM
RAD51D	DMC1	0.14285715	Shared protein domains	PFAM
RAD51D	XRCC2	0.14285715	Shared protein domains	PFAM
RAD51D	XRCC3	0.14285715	Shared protein domains	PFAM
RAD51D	RAD51	0.14285715	Shared protein domains	PFAM
RAD51D	RAD51C	0.14285715	Shared protein domains	PFAM
MSH3	MSH6	0.17051803	Shared protein domains	PFAM
MSH3	MSH2	0.2761093	Shared protein domains	PFAM
RAD51B	DMC1	0.14285715	Shared protein domains	PFAM
RAD51B	XRCC2	0.14285715	Shared protein domains	PFAM
RAD51B	XRCC3	0.14285715	Shared protein domains	PFAM
RAD51B	RAD51	0.14285715	Shared protein domains	PFAM
RAD51B	RAD51C	0.14285715	Shared protein domains	PFAM
RAD51B	RAD51D	0.14285715	Shared protein domains	PFAM
MSH4	MSH6	0.1430029	Shared protein domains	PFAM
MSH4	MSH2	0.23155664	Shared protein domains	PFAM
MSH4	MSH3	0.21576427	Shared protein domains	PFAM
RFC1	NBN	0.019036504	Shared protein domains	PFAM
PMS1	MLH1	0.12436151	Shared protein domains	PFAM
PMS1	PMS2	0.09162134	Shared protein domains	PFAM
MSH5	MSH6	0.115350574	Shared protein domains	PFAM
MSH5	MSH2	0.18678498	Shared protein domains	PFAM
MSH5	MSH3	0.14236848	Shared protein domains	PFAM
MSH5	MSH4	0.21013021	Shared protein domains	PFAM
XRCC2	DMC1	0.068340205	Shared protein domains	INTERPRO
XRCC3	DMC1	0.08687431	Shared protein domains	INTERPRO
XRCC3	XRCC2	0.11732054	Shared protein domains	INTERPRO
RAD50	XRCC2	0.004661647	Shared protein domains	INTERPRO
RAD50	XRCC3	0.0039514233	Shared protein domains	INTERPRO
MSH2	MSH6	0.14604326	Shared protein domains	INTERPRO
MSH2	RAD50	0.003648902	Shared protein domains	INTERPRO
RAD51	DMC1	0.096236646	Shared protein domains	INTERPRO
RAD51	XRCC2	0.068340205	Shared protein domains	INTERPRO
RAD51	XRCC3	0.08687431	Shared protein domains	INTERPRO
PMS2	MLH1	0.09699079	Shared protein domains	INTERPRO
RAD51C	DMC1	0.113473296	Shared protein domains	INTERPRO
RAD51C	XRCC2	0.11009543	Shared protein domains	INTERPRO
RAD51C	XRCC3	0.13993981	Shared protein domains	INTERPRO
RAD51C	RAD50	0.0037076222	Shared protein domains	INTERPRO
RAD51C	RAD51	0.113473296	Shared protein domains	INTERPRO
RAD51AP2	RAD51AP1	1	Shared protein domains	INTERPRO
RAD51D	DMC1	0.06031693	Shared protein domains	INTERPRO
RAD51D	XRCC2	0.072878666	Shared protein domains	INTERPRO
RAD51D	XRCC3	0.09264293	Shared protein domains	INTERPRO
RAD51D	RAD51	0.06031693	Shared protein domains	INTERPRO
RAD51D	RAD51C	0.08693786	Shared protein domains	INTERPRO
MSH3	MSH6	0.17906846	Shared protein domains	INTERPRO
MSH3	RAD50	0.004038694	Shared protein domains	INTERPRO
MSH3	MSH2	0.18517594	Shared protein domains	INTERPRO
RAD51B	DMC1	0.06031693	Shared protein domains	INTERPRO
RAD51B	XRCC2	0.072878666	Shared protein domains	INTERPRO
RAD51B	XRCC3	0.09264293	Shared protein domains	INTERPRO
RAD51B	RAD51	0.06031693	Shared protein domains	INTERPRO
RAD51B	RAD51C	0.08693786	Shared protein domains	INTERPRO
RAD51B	RAD51D	0.064321995	Shared protein domains	INTERPRO
MSH4	MSH6	0.1220391	Shared protein domains	INTERPRO
MSH4	RAD50	0.0040640677	Shared protein domains	INTERPRO
MSH4	MSH2	0.16739021	Shared protein domains	INTERPRO
MSH4	MSH3	0.14463869	Shared protein domains	INTERPRO
LIG1	BRCA2	0.014607045	Shared protein domains	INTERPRO
PMS1	MLH1	0.066696815	Shared protein domains	INTERPRO
PMS1	PMS2	0.06528623	Shared protein domains	INTERPRO
SWSAP1	XRCC2	0.004959707	Shared protein domains	INTERPRO
SWSAP1	XRCC3	0.004204073	Shared protein domains	INTERPRO
SWSAP1	MSH6	0.0028286176	Shared protein domains	INTERPRO
SWSAP1	RAD50	0.0023654373	Shared protein domains	INTERPRO
SWSAP1	MSH2	0.003882213	Shared protein domains	INTERPRO
SWSAP1	RAD51C	0.0039446875	Shared protein domains	INTERPRO
SWSAP1	MSH3	0.0042969277	Shared protein domains	INTERPRO
SWSAP1	MSH4	0.0043239244	Shared protein domains	INTERPRO
MSH5	MSH6	0.092982024	Shared protein domains	INTERPRO
MSH5	RAD50	0.004495102	Shared protein domains	INTERPRO
MSH5	MSH2	0.16488944	Shared protein domains	INTERPRO
MSH5	MSH3	0.09626424	Shared protein domains	INTERPRO
MSH5	MSH4	0.14199735	Shared protein domains	INTERPRO
MSH5	SWSAP1	0.004782514	Shared protein domains	INTERPRO
MBD4	MUTYH	0.034174502	Shared protein domains	INTERPRO
